external_gene_name	mmusculus_homolog_associated_gene_name
MT-TF	
MT-RNR1	
MT-TV	
MT-RNR2	
MT-TL1	
MT-ND1	mt-Nd1
MT-TI	
MT-TQ	
MT-TM	
MT-ND2	mt-Nd2
MT-TW	
MT-TA	
MT-TN	
MT-TC	
MT-TY	
MT-CO1	mt-Co1
MT-TS1	
MT-TD	
MT-CO2	mt-Co2
MT-TK	
MT-ATP8	mt-Atp8
MT-ATP6	mt-Atp6
MT-CO3	mt-Co3
MT-TG	
MT-ND3	mt-Nd3
MT-TR	
MT-ND4L	mt-Nd4l
MT-ND4	mt-Nd4
MT-TH	
MT-TS2	
MT-TL2	
MT-ND5	mt-Nd5
MT-ND6	mt-Nd6
MT-TE	
MT-CYB	mt-Cytb
MT-TT	
MT-TP	
AC021224.1	
RF00019	
RNU4-56P	Gm22005
RNA5SP421	
RNA5SP93	
RN7SL453P	
RNU6-294P	Gm22359
RN7SKP232	Gm24140
RNU5A-8P	
RNY1P13	
RF00019	Rny3
RNU7-164P	
RNU6-689P	Gm23242
RNU6-396P	
AL355301.1	
RN7SL375P	
RNU6-599P	
RNU6-520P	
RN7SKP103	Gm23875
RF00012	
RNU6-339P	
RF02218	
RN7SL861P	
RNA5SP531	Gm24009
RF00003	
RNA5SP338	
SCARNA11	Gm23751
RF00015	
RF02156	
SNORD42B	Snord42b
RNA5SP449	
RNA5SP121	
RN7SKP180	
RNU6-1176P	
RN7SKP83	
RN7SKP187	Gm23037
RF00393	Gm25791
RN7SL185P	
SNORA40B	Gm22490
SNORD13	
RF02107	
RNA5SP286	
RNU6-553P	Gm25772
RN7SKP64	Gm25082
RNA5SP496	
RNA5SP257	
RF00425	
AC003070.3	
RF00091	Snora62
RN7SL604P	Gm27853
RF01518	Gm28000
RF01518	Gm27940
RF01518	Gm27679
RNU6-466P	Gm22384
RNU2-27P	Gm25475
SNORA63B	Gm24201
RNA5SP143	
RNA5SP294	
RNU7-75P	
RNU6-1177P	Gm26061
RNU4-52P	
RN7SKP60	Gm25454
RN7SKP60	Gm23886
SNORD58C	
RNA5SP503	
RNA5SP413	
RNU1-39P	
MIR939	
RN7SL16P	
RF00017	Gm25574
RF00017	Gm27651
AC097369.2	
RF00156	
RNU6-82P	
RNU6-367P	
RN7SL70P	
MIR876	Mir876
RF00017	
RN7SL244P	
RNU2-29P	Gm23118
RNU7-169P	
RN7SL752P	
RNU6-256P	
RNA5SP229	
MIR4477B	
RF00015	Gm25882
RN7SL120P	
RN7SL564P	
RNU6-777P	
MIR3960	
RN7SL293P	
RNU7-82P	
RNA5SP245	
SNORA69	Gm22784
RN7SL592P	
MIR7114	
RNU1-46P	Gm22211
RN7SL419P	
RNU7-128P	
RF00537	
RN7SKP52	
RNU6-948P	
MIR4536-1	
RF00096	Gm25369
RNU6-211P	
RN7SL184P	
MIR4329	
RNA5SP105	
RNU4ATAC9P	
RNA5SP536	
RNY3P8	
RNA5SP184	
RF01233	
RF00279	Gm24494
MIR18B	
RN7SL545P	
SNORD62A	Gm22192
RN7SL22P	Gm22876
RNU7-88P	
RNU6-1169P	
RNA5SP403	
SNORD116-20	
MIR934	
RF00001	
SNORD114-18	
RN7SL118P	
RN7SL648P	Gm27853
RNA5SP242	
RNU6-1105P	Gm22301
MIR892B	
RNU6-333P	
RNU7-79P	
NLRP7	
RNU6-603P	Gm22576
RF00026	
RF01210	
SNORA33	Snora33
RNU4-10P	
RF00443	
SNORA24B	
RNA5SP219	
RNU2-28P	
AC097369.1	
RN7SL645P	
RNU6-672P	
RNU6-1332P	
RF00614	
RNA5SP266	
RF00410	
RNU6-108P	
RNU7-97P	
RF02271	
RNU6-718P	
RNU6-758P	
AC023491.1	
RN7SL751P	
RN7SL452P	
SNORD116-19	
RNU7-123P	
SNORD84	
RNA5SP46	
SNORD11B	Gm26287
SNORA49	Gm26079
RNU7-173P	
RN7SL657P	
RN7SKP164	Gm23673
RF02220	
RNU6-1089P	
RN7SL371P	
RN7SL622P	
MIR4695	
RNU6-1152P	Gm23691
RNU6-46P	
RNA5SP505	
RNU6-771P	
RNY1P14	
RN7SKP168	Gm24990
TFPT	
RF00621	
RNA5SP240	
MIR197	
RNU6-1181P	
SNORD27	Gm24452
RF00408	
RN7SL668P	
RF02155	
MIR135B	
RN7SKP251	
RNU6-849P	
RN7SKP286	
SNORD105	Gm24067
RN7SL116P	
MIR3664	
RF00004	Gm25360
RF00004	Gm23472
RF00004	Gm24950
RF00004	Rnu2-10
RF00004	Gm25939
RF00004	Gm23971
RF00424	
RNA5SP410	
RNU6-1118P	
RF02213	
MIR4492	
SNORD51	Gm26457
RN7SL28P	
SNORD36B	Gm22879
RNA5SP25	
RF02249	Gm27283
RNA5SP428	
RNA5SP225	
AC255560.1	
MIR1293	
AC025283.2	
